Datetime,Price,Order
2022-07-30 20:15:00,58.09,1
2022-07-30 20:20:00,57.99,-1
2022-07-30 20:18:00,57.85,1
2022-07-30 20:23:00,58.08,-1
2022-07-30 21:22:00,57.9,1
2022-07-30 21:27:00,58.29,-1
2022-07-30 21:35:00,58.27,1
2022-07-30 21:40:00,58.2,-1
2022-08-06 19:42:00,62.45,1
2022-08-06 19:47:00,62.47,-1
2022-08-06 20:10:00,62.61,1
2022-08-06 20:15:00,62.68,-1
2022-08-06 20:12:00,62.65,1
2022-08-06 20:17:00,63.2,-1
2022-08-06 20:53:00,63.2,1
2022-08-06 20:58:00,63.13,-1
2022-08-06 21:01:00,62.92,1
2022-08-06 21:06:00,62.75,-1
2022-08-06 21:20:00,62.58,1
2022-08-06 21:25:00,62.57,-1
2022-08-14 18:45:00,68.38,1
2022-08-14 18:50:00,66.39,-1
2022-08-14 18:50:00,66.39,1
2022-08-14 18:55:00,66.55,-1
2022-08-20 20:12:00,101.97,1
2022-08-20 20:17:00,102.15,-1
2022-08-20 21:03:00,101.81,1
2022-08-20 21:08:00,101.82,-1
2022-08-20 21:11:00,102.15,1
2022-08-20 21:16:00,101.8,-1
2022-08-20 21:20:00,101.66,1
2022-08-20 21:25:00,103.8,-1
2022-09-03 20:11:00,134.92,1
2022-09-03 20:16:00,134.8,-1
2022-09-03 20:14:00,134.98,1
2022-09-03 20:19:00,134.4,-1
2022-09-03 21:20:00,133.73,1
2022-09-03 21:25:00,133.63,-1
2022-09-10 19:33:00,127.99,1
2022-09-10 19:38:00,128.15,-1
2022-09-10 20:55:00,128.51,1
2022-09-10 21:00:00,128.83,-1
2022-09-10 21:07:00,128.23,1
2022-09-10 21:12:00,128.61,-1
2022-09-10 21:20:00,128.69,1
2022-09-10 21:25:00,128.98,-1
2022-09-30 20:47:00,106.97,1
2022-09-30 20:52:00,106.81,-1
2022-09-30 20:49:00,106.83,1
2022-09-30 20:54:00,106.75,-1
2022-09-30 21:33:00,106.72,1
2022-09-30 21:38:00,106.75,-1
2022-09-30 22:00:00,106.89,1
2022-09-30 22:05:00,106.69,-1
2022-09-30 22:05:00,106.69,1
2022-09-30 22:10:00,106.5,-1
2022-10-04 20:24:00,99.83,1
2022-10-04 20:29:00,99.83,-1
2022-10-04 20:41:00,100.05,1
2022-10-04 20:46:00,100.23,-1
2022-10-04 20:50:00,100.43,1
2022-10-04 20:55:00,100.34,-1
2022-10-08 17:22:00,98.64,1
2022-10-08 17:27:00,98.74,-1
2022-10-08 18:07:00,98.47,1
2022-10-08 18:12:00,98.49,-1
2022-10-08 18:50:00,98.31,1
2022-10-08 18:55:00,98.31,-1
2022-10-12 19:06:00,78.48,1
2022-10-12 19:11:00,78.65,-1
2022-10-12 20:08:00,78.99,1
2022-10-12 20:13:00,79.0,-1
2022-10-12 20:19:00,79.08,1
2022-10-12 20:24:00,79.01,-1
2022-10-12 20:50:00,79.84,1
2022-10-12 20:55:00,79.78,-1
2022-10-16 19:51:00,76.05,1
2022-10-16 19:56:00,76.14,-1
2022-10-16 19:56:00,76.14,1
2022-10-16 20:01:00,76.35,-1
2022-10-16 20:16:00,76.29,1
2022-10-16 20:21:00,76.03,-1
2022-10-16 20:50:00,76.32,1
2022-10-16 20:55:00,76.18,-1
2022-10-16 21:26:00,76.2,1
2022-10-16 21:31:00,75.96,-1
2022-10-16 21:30:00,75.94,1
2022-10-16 21:35:00,76.11,-1
2022-10-16 21:35:00,76.11,1
2022-10-16 21:40:00,75.91,-1
2022-10-26 17:18:00,76.2,1
2022-10-26 17:23:00,76.37,-1
2022-10-26 17:57:00,76.49,1
2022-10-26 18:02:00,76.5,-1
2022-10-26 18:00:00,76.59,1
2022-10-26 18:05:00,76.79,-1
2022-10-26 18:10:00,76.88,1
2022-10-26 18:15:00,77.0,-1
2022-10-26 18:35:00,76.75,1
2022-10-26 18:40:00,76.68,-1
2022-10-29 14:33:00,74.21,1
2022-10-29 14:38:00,74.26,-1
2022-11-01 17:50:00,78.43,1
2022-11-01 17:55:00,79.2,-1
2022-11-01 18:09:00,79.08,1
2022-11-01 18:14:00,79.98,-1
2022-11-01 19:35:00,79.73,1
2022-11-01 19:40:00,79.9,-1
2022-11-05 18:04:00,95.57,1
2022-11-05 18:09:00,95.27,-1
2022-11-05 18:31:00,94.4,1
2022-11-05 18:36:00,95.35,-1
2022-11-05 18:39:00,95.11,1
2022-11-05 18:44:00,96.25,-1
2022-11-05 19:10:00,97.23,1
2022-11-05 19:15:00,97.28,-1
2022-11-05 19:50:00,95.7,1
2022-11-05 19:55:00,96.48,-1
2022-11-08 20:52:00,84.43,1
2022-11-08 20:57:00,84.19,-1
2022-11-08 21:23:00,82.48,1
2022-11-08 21:28:00,82.6,-1
2022-11-08 22:13:00,86.31,1
2022-11-08 22:18:00,88.71,-1
2022-11-08 22:35:00,87.67,1
2022-11-08 22:40:00,88.51,-1
2022-11-12 21:11:00,75.69,1
2022-11-12 21:16:00,75.6,-1
2022-11-12 21:49:00,75.36,1
2022-11-12 21:54:00,75.55,-1
2022-11-12 22:08:00,75.61,1
2022-11-12 22:13:00,75.49,-1
2022-11-12 22:15:00,75.33,1
2022-11-12 22:20:00,75.52,-1
2022-11-12 22:20:00,75.52,1
2022-11-12 22:25:00,75.65,-1
2022-12-08 20:10:00,68.23,1
2022-12-08 20:15:00,68.18,-1
2022-12-08 20:14:00,68.15,1
2022-12-08 20:19:00,68.17,-1
2022-12-08 20:50:00,67.77,1
2022-12-08 20:55:00,67.96,-1
2022-12-16 20:31:00,58.7,1
2022-12-16 20:36:00,58.67,-1
2022-12-16 21:33:00,58.36,1
2022-12-16 21:38:00,58.42,-1
2022-12-16 21:43:00,58.34,1
2022-12-16 21:48:00,58.58,-1
2022-12-16 21:52:00,59.12,1
2022-12-16 21:57:00,59.42,-1
2022-12-16 22:20:00,58.84,1
2022-12-16 22:25:00,58.65,-1
2022-12-21 20:18:00,49.58,1
2022-12-21 20:23:00,49.74,-1
2022-12-21 21:38:00,49.9,1
2022-12-21 21:43:00,49.89,-1
2022-12-21 22:05:00,50.05,1
2022-12-21 22:10:00,50.07,-1
2022-12-28 21:16:00,47.54,1
2022-12-28 21:21:00,47.44,-1
2022-12-28 21:33:00,47.3,1
2022-12-28 21:38:00,47.22,-1
2022-12-28 21:49:00,47.22,1
2022-12-28 21:54:00,47.23,-1
2022-12-28 22:20:00,47.22,1
2022-12-28 22:25:00,47.11,-1
2022-12-28 22:40:00,47.05,1
2022-12-28 22:45:00,47.04,-1
2022-12-28 23:05:00,47.07,1
2022-12-28 23:10:00,47.05,-1
2023-01-11 21:16:00,51.54,1
2023-01-11 21:21:00,51.63,-1
2023-01-11 21:54:00,51.53,1
2023-01-11 21:59:00,51.7,-1
2023-01-11 21:57:00,51.53,1
2023-01-11 22:02:00,51.7,-1
2023-01-11 22:30:00,51.51,1
2023-01-11 22:35:00,51.63,-1
2023-01-11 22:35:00,51.63,1
2023-01-11 22:40:00,51.59,-1
2023-01-15 20:40:00,58.22,1
2023-01-15 20:45:00,58.09,-1
2023-01-15 20:51:00,58.14,1
2023-01-15 20:56:00,58.1,-1
2023-01-15 21:12:00,58.05,1
2023-01-15 21:17:00,58.04,-1
2023-01-15 21:33:00,58.05,1
2023-01-15 21:38:00,58.23,-1
2023-01-15 22:20:00,58.2,1
2023-01-15 22:25:00,58.12,-1
2023-01-21 21:15:00,58.89,1
2023-01-21 21:20:00,59.05,-1
2023-01-21 22:20:00,59.15,1
2023-01-21 22:25:00,59.12,-1
2023-01-25 19:52:00,59.25,1
2023-01-25 19:57:00,59.04,-1
2023-01-25 21:06:00,58.81,1
2023-01-25 21:11:00,58.88,-1
2023-01-25 21:19:00,58.74,1
2023-01-25 21:24:00,58.8,-1
2023-01-25 21:35:00,59.01,1
2023-01-25 21:40:00,58.89,-1
2023-01-28 19:55:00,58.9,1
2023-01-28 20:00:00,58.8,-1
2023-01-28 21:26:00,59.38,1
2023-01-28 21:31:00,59.35,-1
2023-01-28 21:35:00,59.58,1
2023-01-28 21:40:00,59.66,-1
2023-02-01 20:05:00,58.23,1
2023-02-01 20:10:00,58.16,-1
2023-02-01 20:10:00,58.16,1
2023-02-01 20:15:00,57.98,-1
2023-02-01 20:50:00,58.0,1
2023-02-01 20:55:00,57.85,-1
2023-02-05 18:41:00,58.32,1
2023-02-05 18:46:00,58.21,-1
2023-02-05 19:41:00,58.7,1
2023-02-05 19:46:00,58.69,-1
2023-02-05 19:50:00,58.66,1
2023-02-05 19:55:00,58.7,-1
2023-02-08 21:50:00,62.86,1
2023-02-08 21:55:00,62.7,-1
2023-02-08 22:35:00,62.98,1
2023-02-08 22:40:00,62.91,-1
2023-02-12 19:15:00,58.59,1
2023-02-12 19:20:00,58.55,-1
2023-02-12 19:45:00,58.54,1
2023-02-12 19:50:00,58.63,-1
2023-02-12 19:50:00,58.63,1
2023-02-12 19:55:00,58.69,-1
2023-02-18 21:14:00,59.78,1
2023-02-18 21:19:00,59.81,-1
2023-02-18 22:20:00,60.02,1
2023-02-18 22:25:00,60.03,-1
2023-02-26 20:34:00,55.77,1
2023-02-26 20:39:00,55.73,-1
2023-03-04 20:45:00,50.18,1
2023-03-04 20:50:00,50.14,-1
2023-03-04 21:13:00,50.09,1
2023-03-04 21:18:00,50.0,-1
2023-03-04 22:15:00,49.81,1
2023-03-04 22:20:00,49.86,-1
2023-03-04 22:20:00,49.86,1
2023-03-04 22:25:00,50.1,-1
2023-03-10 20:24:00,45.13,1
2023-03-10 20:29:00,45.1,-1
2023-03-10 20:46:00,45.0,1
2023-03-10 20:51:00,44.96,-1
2023-03-10 21:43:00,44.6,1
2023-03-10 21:48:00,44.53,-1
2023-03-10 22:05:00,45.1,1
2023-03-10 22:10:00,45.3,-1
2023-04-02 20:00:00,49.16,1
2023-04-02 20:05:00,49.13,-1
2023-04-02 21:20:00,49.31,1
2023-04-02 21:25:00,49.19,-1
2023-04-07 17:45:00,50.38,1
2023-04-07 17:50:00,50.47,-1
2023-04-07 18:09:00,50.53,1
2023-04-07 18:14:00,50.56,-1
2023-04-07 18:50:00,51.98,1
2023-04-07 18:55:00,51.57,-1
2023-04-15 20:04:00,61.55,1
2023-04-15 20:09:00,61.55,-1
2023-04-15 21:05:00,61.49,1
2023-04-15 21:10:00,61.4,-1
2023-04-15 21:20:00,61.41,1
2023-04-15 21:25:00,61.4,-1
2023-04-22 20:51:00,59.88,1
2023-04-22 20:56:00,59.9,-1
2023-04-22 21:08:00,59.75,1
2023-04-22 21:13:00,59.78,-1
2023-04-22 21:20:00,59.71,1
2023-04-22 21:25:00,59.73,-1
2023-04-26 19:46:00,57.8,1
2023-04-26 19:51:00,57.34,-1
2023-04-26 20:48:00,56.64,1
2023-04-26 20:53:00,56.68,-1
2023-04-26 21:20:00,57.0,1
2023-04-26 21:25:00,57.02,-1
2023-04-30 18:14:00,58.9,1
2023-04-30 18:19:00,58.91,-1
2023-04-30 18:50:00,58.96,1
2023-04-30 18:55:00,58.9,-1
2023-05-04 19:58:00,57.48,1
2023-05-04 20:03:00,57.49,-1
2023-05-04 21:20:00,57.17,1
2023-05-04 21:25:00,57.1,-1
2023-05-04 21:45:00,58.05,1
2023-05-04 21:50:00,57.74,-1
2023-05-04 21:45:00,58.05,1
2023-05-04 21:50:00,57.74,-1
2023-05-08 20:59:00,50.85,1
2023-05-08 21:04:00,50.78,-1
2023-05-08 22:05:00,50.69,1
2023-05-08 22:10:00,50.7,-1
